text,What is the start time  this movie playing at liberty
config_1.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.9563517570495605}
config_2.yml,{'name': 'starttime', 'confidence': 0.5714057733464805}
config_3.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.3857327103614807}
config_4.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.9909725785255432}
config_5.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.871309220790863}
config_7.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.8061126470565796}
config_8.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.9906439781188965}
config_9.yml,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.9687022566795349}
final intent,{'id': -144971871335042959, 'name': 'starttime', 'confidence': 0.8155506326579111, 'count': 4.554274922436903}

text,I want tickets for 4 people tomorrow
config_1.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9971704483032227}
config_2.yml,{'name': 'inform', 'confidence': 0.49054346200112636}
config_3.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.8915664553642273}
config_4.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9988298416137695}
config_5.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9992693066596985}
config_7.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9960089325904846}
config_8.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9944967031478882}
config_9.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9924376010894775}
final intent,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.8971158044769866, 'count': 4.554274922436903}

text,Which theater plays infinity war by 4.30 p.m.
config_1.yml,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.8837984800338745}
config_2.yml,{'name': 'theater', 'confidence': 0.6402233371889074}
config_3.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.37076136469841003}
config_4.yml,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.8901999592781067}
config_5.yml,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.9944384098052979}
config_7.yml,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.9196481704711914}
config_8.yml,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.9265958070755005}
config_9.yml,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.9802459478378296}
final intent,{'id': 4550906635586351293, 'name': 'theater', 'confidence': 0.81607343168999, 'count': 4.554274922436903}

text,I want 3 tickers for zootopia
config_1.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9935738444328308}
config_2.yml,{'name': 'inform', 'confidence': 0.4704538436549622}
config_3.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9451189637184143}
config_4.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9752518534660339}
config_5.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9896743893623352}
config_7.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9992793202400208}
config_8.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9973692297935486}
config_9.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9982098340988159}
final intent,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.8960392874840714, 'count': 4.554274922436903}

text,I want to watch a comedy movie in nyc
config_1.yml,{'id': 1637436827275236992, 'name': 'inform', 'confidence': 0.9998164772987366}
